User Id,Investment Id,Investment Status,Investment Round,Industry,Amount Invested
1,40774,completed,1197,Productos de Consumo,"$55,000.00"
,41922,completed,1164,Servicios especializados,"$9,200.00"
,44522,withdrawn,1238,Tecnología y comunicación,"$12,000.00"
,45648,completed,1239,Productos de Consumo,"$55,000.00"
2,40785,withdrawn_by_choice,1197,Productos de Consumo,"$12,000.00"
,42470,completed,1164,Servicios especializados,"$5,000.00"
,45610,completed,1239,Productos de Consumo,"$17,600.00"
3,42777,completed,1212,Bienes raíces,"$8,000.00"
4,45258,withdrawn,1201,Bienes raíces,"$20,000.00"
5,45508,completed,1201,Bienes raíces,"$8,000.00"
6,45027,canceled_by_expiration,1238,Tecnología y comunicación,"$5,000.00"
7,46216,completed,1239,Productos de Consumo,"$200,000.00"
8,41563,withdrawn,1197,Productos de Consumo,"$29,700.00"
,42137,withdrawn,1164,Servicios especializados,"$31,970.00"
,43332,canceled_by_failed_round,1206,Tecnología y comunicación,"$23,000.00"
,44721,completed,1238,Tecnología y comunicación,"$23,000.00"
,45173,withdrawn_by_choice,1201,Bienes raíces,"$32,200.00"
,45175,completed,1201,Bienes raíces,"$23,000.00"
9,43900,canceled_by_failed_round,1206,Tecnología y comunicación,"$8,000.00"
10,40859,completed,1197,Productos de Consumo,"$5,500.00"
,43040,completed,1164,Servicios especializados,"$5,000.00"
,43070,canceled_by_failed_round,1206,Tecnología y comunicación,"$13,800.00"
,44540,completed,1238,Tecnología y comunicación,"$5,750.00"
,45031,canceled,1201,Bienes raíces,"$5,000.00"
,45074,completed,1201,Bienes raíces,"$5,750.00"
11,42741,withdrawn,1212,Bienes raíces,"$20,000.00"
12,40666,completed,1171,Infraestructura,"$5,000.00"
13,45295,completed,1201,Bienes raíces,"$12,000.00"
,45651,completed,1239,Productos de Consumo,"$12,000.00"
14,43722,completed,1212,Bienes raíces,"$8,000.00"
15,44185,canceled_by_failed_round,1206,Tecnología y comunicación,"$200,000.00"
16,42703,completed,1164,Servicios especializados,"$5,000.00"
17,42723,completed,1212,Bienes raíces,"$8,000.00"
,44530,completed,1238,Tecnología y comunicación,"$5,750.00"
,45578,completed,1239,Productos de Consumo,"$13,800.00"
18,42942,completed,1164,Servicios especializados,"$8,000.00"
19,44625,completed,1238,Tecnología y comunicación,"$21,000.00"
,45483,completed,1201,Bienes raíces,"$5,000.00"
20,42262,completed,1164,Servicios especializados,"$100,000.00"
,45359,withdrawn,1201,Bienes raíces,"$100,000.00"
,46254,completed,1201,Bienes raíces,"$8,000.00"
21,42496,completed,1164,Servicios especializados,"$5,000.00"
,42803,completed,1212,Bienes raíces,"$5,000.00"
,46073,withdrawn,1239,Productos de Consumo,"$12,000.00"
22,40776,completed,1197,Productos de Consumo,"$5,000.00"
,41924,completed,1164,Servicios especializados,"$11,000.00"
,43083,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,750.00"
,45035,completed,1238,Tecnología y comunicación,"$5,000.00"
,45036,canceled,1201,Bienes raíces,"$5,000.00"
,45392,completed,1201,Bienes raíces,"$5,000.00"
,46190,completed,1239,Productos de Consumo,"$5,500.00"
23,42762,withdrawn_by_choice,1212,Bienes raíces,"$30,000.00"
,43713,completed,1212,Bienes raíces,"$8,000.00"
,45475,completed,1201,Bienes raíces,"$5,750.00"
24,40847,completed,1197,Productos de Consumo,"$8,800.00"
,42211,completed,1164,Servicios especializados,"$5,000.00"
,44462,completed,1238,Tecnología y comunicación,"$5,750.00"
,45236,withdrawn_by_choice,1201,Bienes raíces,"$5,000.00"
25,41280,completed,1197,Productos de Consumo,"$17,600.00"
,42215,withdrawn,1164,Servicios especializados,"$13,800.00"
,44330,completed,1238,Tecnología y comunicación,"$18,400.00"
,46142,completed,1239,Productos de Consumo,"$13,200.00"
,46514,canceled_by_expiration,1201,Bienes raíces,"$12,000.00"
,46528,canceled_by_expiration,1201,Bienes raíces,"$12,000.00"
26,41981,withdrawn_by_choice,1164,Servicios especializados,"$5,000.00"
,44457,completed,1238,Tecnología y comunicación,"$5,000.00"
,45177,completed,1201,Bienes raíces,"$5,750.00"
27,43294,completed,1164,Servicios especializados,"$8,000.00"
28,41123,completed,1197,Productos de Consumo,"$5,000.00"
29,43921,canceled_by_failed_round,1206,Tecnología y comunicación,"$8,000.00"
,45260,withdrawn,1201,Bienes raíces,"$12,000.00"
30,43186,canceled_by_failed_round,1206,Tecnología y comunicación,"$50,000.00"
,44482,withdrawn_by_choice,1238,Tecnología y comunicación,"$40,000.00"
,44784,withdrawn_by_choice,1238,Tecnología y comunicación,"$40,000.00"
,44785,completed,1238,Tecnología y comunicación,"$41,375.00"
31,40685,withdrawn,1171,Infraestructura,"$5,000.00"
,43077,withdrawn,1212,Bienes raíces,"$5,000.00"
,43078,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,43081,canceled_by_expiration,1164,Servicios especializados,"$5,000.00"
32,46317,canceled_by_profile,1239,Productos de Consumo,"$5,000.00"
33,44252,completed,1232,Bienes raíces,"$190,000.00"
,44363,completed,1238,Tecnología y comunicación,"$19,550.00"
,46095,withdrawn,1239,Productos de Consumo,"$40,000.00"
,46573,completed,1239,Productos de Consumo,"$35,000.00"
34,45368,completed,1201,Bienes raíces,"$12,000.00"
,46055,completed,1239,Productos de Consumo,"$8,000.00"
35,43162,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
36,45465,withdrawn,1201,Bienes raíces,"$5,000.00"
,45755,canceled_by_expiration,1201,Bienes raíces,"$16,000.00"
,46365,canceled_by_expiration,1201,Bienes raíces,"$14,400.00"
,46448,canceled_by_expiration,1201,Bienes raíces,"$9,600.00"
37,42970,completed,1212,Bienes raíces,"$20,000.00"
38,40675,completed,1171,Infraestructura,"$5,000.00"
39,40782,completed,1197,Productos de Consumo,"$50,000.00"
,45600,completed,1239,Productos de Consumo,"$56,000.00"
,45709,completed,1201,Bienes raíces,"$36,000.00"
40,42733,canceled_by_expiration,1164,Servicios especializados,"$40,000.00"
,43460,completed,1164,Servicios especializados,"$50,000.00"
41,42743,withdrawn_by_choice,1212,Bienes raíces,"$12,000.00"
42,41954,withdrawn_by_choice,1164,Servicios especializados,"$5,000.00"
,45271,withdrawn_by_choice,1201,Bienes raíces,"$5,750.00"
,45886,withdrawn,1239,Productos de Consumo,"$5,000.00"
43,41195,completed,1197,Productos de Consumo,"$5,000.00"
,43443,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44298,withdrawn_by_choice,1238,Tecnología y comunicación,"$5,000.00"
,44837,completed,1238,Tecnología y comunicación,"$5,000.00"
,44994,canceled,1201,Bienes raíces,"$5,000.00"
,45199,completed,1201,Bienes raíces,"$5,000.00"
44,42104,completed,1164,Servicios especializados,"$8,000.00"
,45221,completed,1201,Bienes raíces,"$16,000.00"
,45569,completed,1239,Productos de Consumo,"$8,800.00"
45,42061,withdrawn_by_choice,1164,Servicios especializados,"$8,000.00"
,45003,canceled,1201,Bienes raíces,"$8,000.00"
,45357,withdrawn,1201,Bienes raíces,"$8,000.00"
46,43543,completed,1212,Bienes raíces,"$5,000.00"
,43799,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
47,45373,completed,1201,Bienes raíces,"$8,000.00"
,45533,completed,1239,Productos de Consumo,"$8,000.00"
48,41053,completed,1197,Productos de Consumo,"$5,000.00"
,43228,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
49,42087,withdrawn_by_choice,1164,Servicios especializados,"$20,000.00"
50,44923,completed,1238,Tecnología y comunicación,"$5,000.00"
,46538,canceled_by_expiration,1201,Bienes raíces,"$5,000.00"
,46592,completed,1201,Bienes raíces,"$5,000.00"
51,41069,completed,1197,Productos de Consumo,"$8,000.00"
,42077,withdrawn,1164,Servicios especializados,"$5,000.00"
,42767,canceled_by_expiration,1164,Servicios especializados,"$5,000.00"
,43003,completed,1164,Servicios especializados,"$5,000.00"
,43322,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44409,completed,1238,Tecnología y comunicación,"$5,000.00"
,45531,completed,1239,Productos de Consumo,"$5,000.00"
52,40837,completed,1197,Productos de Consumo,"$5,500.00"
,41939,withdrawn,1164,Servicios especializados,"$5,750.00"
,43088,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,750.00"
,44469,completed,1238,Tecnología y comunicación,"$5,750.00"
,45640,withdrawn,1239,Productos de Consumo,"$5,500.00"
53,43948,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44217,completed,1226,Bienes raíces,"$5,000.00"
54,40767,withdrawn_by_choice,1197,Productos de Consumo,"$12,000.00"
,40799,completed,1197,Productos de Consumo,"$13,200.00"
,41908,completed,1164,Servicios especializados,"$13,800.00"
,43075,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,750.00"
55,43981,canceled_by_failed_round,1206,Tecnología y comunicación,"$30,000.00"
56,43541,withdrawn_by_choice,1212,Bienes raíces,"$5,000.00"
57,43579,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
58,45720,completed,1201,Bienes raíces,"$8,000.00"
,45849,completed,1239,Productos de Consumo,"$5,000.00"
59,45204,completed,1201,Bienes raíces,"$12,000.00"
60,41917,completed,1164,Servicios especializados,"$20,125.00"
,45086,completed,1201,Bienes raíces,"$34,500.00"
61,40778,completed,1197,Productos de Consumo,"$22,000.00"
,41918,completed,1164,Servicios especializados,"$23,000.00"
,43079,canceled_by_failed_round,1206,Tecnología y comunicación,"$23,000.00"
,44345,completed,1238,Tecnología y comunicación,"$23,000.00"
,45078,completed,1201,Bienes raíces,"$28,750.00"
,45535,withdrawn_by_choice,1239,Productos de Consumo,"$12,000.00"
,45601,completed,1239,Productos de Consumo,"$22,000.00"
62,44386,withdrawn_by_choice,1238,Tecnología y comunicación,"$23,000.00"
,45797,withdrawn,1239,Productos de Consumo,"$30,000.00"
63,46075,completed,1239,Productos de Consumo,"$5,000.00"
64,43539,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44715,completed,1238,Tecnología y comunicación,"$9,200.00"
,45800,completed,1239,Productos de Consumo,"$8,000.00"
65,42514,completed,1164,Servicios especializados,"$8,000.00"
66,42481,withdrawn,1164,Servicios especializados,"$5,000.00"
,44375,completed,1238,Tecnología y comunicación,"$5,000.00"
67,41087,completed,1197,Productos de Consumo,"$20,000.00"
,42539,completed,1164,Servicios especializados,"$20,000.00"
